Year,Series,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Units,GeoCode,Value
2011,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,17.9
2015,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,23.1
2019,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,18.9
2017,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,21.8
2014,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,23.9
2013,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,22.3
2010,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,18.9
2012,EU_COV_RGI,,TIT,,,,ES4807,,"Per 1,000 people",ES4807,19.9
2020,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,17.2
2015,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,21.4
2010,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,14.8
2021,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,15.1
2016,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,20.0
2011,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,16.8
2013,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,18.9
2019,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,17.2
2014,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,21.0
2018,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,17.5
2012,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,17.8
2017,EU_COV_RGI,,TIT,,,,ES2006,,"Per 1,000 people",ES2006,18.1
2013,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,16.3
2020,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,14.9
2010,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,10.8
2019,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,13.7
2012,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,14.6
2017,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,16.2
2011,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,12.2
2015,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,17.2
2021,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,12.8
2014,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,17.9
2016,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,17.5
2018,EU_COV_RGI,,TIT,,,,ES2007,,"Per 1,000 people",ES2007,14.9
2021,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,27.0
2010,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,22.3
2011,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,23.4
2020,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,26.7
2019,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,24.3
2016,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,29.6
2013,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,28.2
2012,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,25.0
2015,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,30.0
2018,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,25.1
2014,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,30.8
2017,EU_COV_RGI,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,27.3
2018,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,29.9
2021,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,27.5
2015,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,35.1
2013,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,34.7
2012,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,32.6
2017,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,32.8
2014,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,35.4
2019,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,27.9
2011,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,31.9
2010,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,32.8
2016,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,34.4
2020,EU_COV_RGI,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,28.6
2012,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,17.5
2018,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,18.1
2015,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,21.2
2013,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,19.9
2020,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,18.4
2011,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,16.2
2021,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,17.3
2019,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,17.1
2017,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,19.8
2014,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,21.6
2016,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,21.1
2010,EU_COV_RGI,,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,14.4
2015,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,118.3
2019,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,79.1
2020,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,86.9
2017,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,108.2
2018,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,90.5
2021,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,85.9
2016,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,113.4
2014,EU_COV_RGI,,TIT,MIGRANT,,,,,"Per 1,000 people",,122.4
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,49.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,94.1
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,62.4
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,62.3
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,79.1
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,67.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,71.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Abadiño,"Per 1,000 people",Abadiño,57.7
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Abaltzisketa,"Per 1,000 people",Abaltzisketa,0.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,55.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,93.0
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,66.4
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,96.8
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,108.0
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,64.1
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,106.8
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,150.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,500.0
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,0.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,500.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,250.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,333.3
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,666.7
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,0.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Aduna,"Per 1,000 people",Aduna,0.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,133.9
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,91.7
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,116.7
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,68.4
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,75.6
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,56.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,96.5
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Agurain/Salvatierra,"Per 1,000 people",Agurain/Salvatierra,59.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,20.4
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,20.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,9.4
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,11.1
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,11.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,25.9
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,36.6
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Aia,"Per 1,000 people",Aia,37.7
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,37.7
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,163.3
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,147.5
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,115.4
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,142.9
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,108.1
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,244.4
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Aizarnazabal,"Per 1,000 people",Aizarnazabal,88.9
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,0.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,0.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,200.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,0.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,0.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,125.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,0.0
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Ajangiz,"Per 1,000 people",Ajangiz,0.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Albiztur,"Per 1,000 people",Albiztur,0.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,135.3
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,107.4
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,86.3
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,108.8
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,90.4
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,85.6
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,111.1
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Alegia,"Per 1,000 people",Alegia,115.9
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,118.6
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,75.1
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,102.6
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,77.5
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,114.8
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,64.3
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,129.7
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,65.1
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,250.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,142.9
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,222.2
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,83.3
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,90.9
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,111.1
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,142.9
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Alkiza,"Per 1,000 people",Alkiza,111.1
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,104.5
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,127.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,180.3
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,104.9
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,118.3
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,166.7
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,152.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Alonsotegi,"Per 1,000 people",Alonsotegi,121.8
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Altzaga,"Per 1,000 people",Altzaga,0.0
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,40.0
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,153.8
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,52.6
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,222.2
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,125.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,0.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,71.4
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Altzo,"Per 1,000 people",Altzo,230.8
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,217.4
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,232.6
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,60.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,88.9
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,238.1
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,200.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,132.1
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Amezketa,"Per 1,000 people",Amezketa,127.7
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,53.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,80.8
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,65.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,81.2
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,42.3
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,39.5
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,87.4
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,47.8
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,66.7
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,76.9
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,111.1
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,76.9
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Amoroto,"Per 1,000 people",Amoroto,83.3
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,99.4
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,121.4
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,147.7
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,88.1
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,147.2
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,110.4
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,98.7
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Amurrio,"Per 1,000 people",Amurrio,103.4
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,76.9
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,72.3
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,66.8
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,72.1
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,62.9
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,64.2
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,57.5
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Andoain,"Per 1,000 people",Andoain,75.9
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,79.5
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,119.4
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,60.1
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,83.8
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,111.1
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,86.0
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,84.7
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Anoeta,"Per 1,000 people",Anoeta,97.2
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,89.1
2019,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,33.7
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,98.8
2020,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,22.0
2016,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,64.1
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,34.1
2017,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,61.7
2014,EU_COV_RGI,,TIT,MIGRANT,,,,Antzuola,"Per 1,000 people",Antzuola,122.2
2015,EU_COV_RGI,,TIT,MIGRANT,,,,Añana,"Per 1,000 people",Añana,0.0
2018,EU_COV_RGI,,TIT,MIGRANT,,,,Añana,"Per 1,000 people",Añana,0.0
2021,EU_COV_RGI,,TIT,MIGRANT,,,,Añana,"Per 1,000 people",Añana,0.0
